temp,omega1,theta1,omega2,theta2,theta2-theta1
    6.480000,   -2.291469,    4.544362,   -2.290525,    4.544089,   -0.000273
    6.520000,   -2.294928,    4.452565,   -2.293988,    4.452330,   -0.000235
    6.560000,   -2.298925,    4.360608,   -2.297989,    4.360410,   -0.000198
    6.600000,   -2.303746,    4.268458,   -2.302815,    4.268297,   -0.000161
    6.640000,   -2.309667,    4.176071,   -2.308741,    4.175948,   -0.000123
    6.680000,   -2.316956,    4.083393,   -2.316033,    4.083306,   -0.000087
    6.720000,   -2.325867,    3.990358,   -2.324949,    3.990309,   -0.000050
    6.760000,   -2.336644,    3.896892,   -2.335728,    3.896879,   -0.000013
    6.800000,   -2.349514,    3.802912,   -2.348600,    3.802935,    0.000024
    6.840000,   -2.364687,    3.708324,   -2.363775,    3.708384,    0.000060
    6.880000,   -2.382358,    3.613030,   -2.381445,    3.613127,    0.000097
    6.920000,   -2.402697,    3.516922,   -2.401784,    3.517055,    0.000133
    6.960000,   -2.425857,    3.419888,   -2.424941,    3.420058,    0.000170
    7.000000,   -2.451964,    3.321809,   -2.451043,    3.322016,    0.000207
    7.040000,   -2.481120,    3.222564,   -2.480192,    3.222808,    0.000244
    7.080000,   -2.513395,    3.122029,   -2.512460,    3.122310,    0.000281
    7.120000,   -2.548831,    3.020075,   -2.547887,    3.020395,    0.000319
    7.160000,   -2.587435,    2.916578,   -2.586480,    2.916935,    0.000358
    7.200000,   -2.629175,    2.811411,   -2.628208,    2.811807,    0.000396
    7.240000,   -2.673978,    2.704452,   -2.672997,    2.704887,    0.000435
    7.280000,   -2.721726,    2.595583,   -2.720732,    2.596058,    0.000475
    7.320000,   -2.772253,    2.484693,   -2.771245,    2.485208,    0.000515
    7.360000,   -2.825340,    2.371679,   -2.824317,    2.372235,    0.000556
    7.400000,   -2.880711,    2.256451,   -2.879674,    2.257048,    0.000597
    7.440000,   -2.938033,    2.138929,   -2.936983,    2.139569,    0.000639
    7.480000,   -2.996912,    2.019053,   -2.995851,    2.019735,    0.000682
    7.520000,   -3.056894,    1.896777,   -3.055823,    1.897502,    0.000725
    7.560000,   -3.117461,    1.772079,   -3.116383,    1.772847,    0.000768
    7.600000,   -3.178042,    1.644957,   -3.176959,    1.645768,    0.000811
    7.640000,   -3.238008,    1.515437,   -3.236926,    1.516291,    0.000854
    7.680000,   -3.296690,    1.383569,   -3.295612,    1.384467,    0.000897
    7.720000,   -3.353381,    1.249434,   -3.352311,    1.250374,    0.000940
    7.760000,   -3.407351,    1.113140,   -3.406296,    1.114122,    0.000982
    7.800000,   -3.457867,    0.974825,   -3.456831,    0.975849,    0.001024
    7.840000,   -3.504204,    0.834657,   -3.503193,    0.835721,    0.001064
    7.880000,   -3.545671,    0.692831,   -3.544690,    0.693934,    0.001103
    7.920000,   -3.581628,    0.549565,   -3.580683,    0.550706,    0.001141
    7.960000,   -3.611509,    0.405105,   -3.610605,    0.406282,    0.001177
    8.000000,   -3.634839,    0.259712,   -3.633980,    0.260923,    0.001211
    8.040000,   -3.651253,    0.113662,   -3.650443,    0.114905,    0.001244
    8.080000,   -3.660511,   -0.032759,   -3.659752,   -0.031485,    0.001274
    8.120000,   -3.662504,   -0.179259,   -3.661797,   -0.177957,    0.001302
    8.160000,   -3.657262,   -0.325549,   -3.656608,   -0.324221,    0.001328
    8.200000,   -3.644953,   -0.471347,   -3.644351,   -0.469995,    0.001352
    8.240000,   -3.625873,   -0.616382,   -3.625320,   -0.615008,    0.001374
    8.280000,   -3.600442,   -0.760400,   -3.599935,   -0.759005,    0.001395
    8.320000,   -3.569183,   -0.903167,   -3.568717,   -0.901754,    0.001413
    8.360000,   -3.532705,   -1.044476,   -3.532275,   -1.043045,    0.001431
    8.400000,   -3.491686,   -1.184143,   -3.491286,   -1.182696,    0.001447
    8.440000,   -3.446848,   -1.322017,   -3.446471,   -1.320555,    0.001462
    8.480000,   -3.398940,   -1.457975,   -3.398578,   -1.456498,    0.001477
    8.520000,   -3.348713,   -1.591923,   -3.348358,   -1.590433,    0.001491
    8.559999,   -3.296907,   -1.723799,   -3.296552,   -1.722294,    0.001505
    8.599999,   -3.244234,   -1.853569,   -3.243870,   -1.852049,    0.001519
    8.639999,   -3.191364,   -1.981223,   -3.190984,   -1.979689,    0.001534
    8.679999,   -3.138917,   -2.106780,   -3.138514,   -2.105230,    0.001550
    8.720000,   -3.087454,   -2.230278,   -3.087020,   -2.228711,    0.001567
    8.760000,   -3.037475,   -2.351777,   -3.037003,   -2.350191,    0.001586
    8.800000,   -2.989412,   -2.471353,   -2.988897,   -2.469746,    0.001607
    8.840000,   -2.943632,   -2.589098,   -2.943068,   -2.587469,    0.001630
    8.880000,   -2.900437,   -2.705116,   -2.899818,   -2.703461,    0.001655
    8.920000,   -2.860064,   -2.819519,   -2.859386,   -2.817836,    0.001682
    8.960000,   -2.822689,   -2.932426,   -2.821950,   -2.930714,    0.001712
    9.000000,   -2.788431,   -3.043963,   -2.787626,   -3.042220,    0.001743
    9.040000,   -2.757353,   -3.154257,   -2.756480,   -3.152479,    0.001779
    9.080000,   -2.729467,   -3.263436,   -2.728525,   -3.261620,    0.001816
    9.120000,   -2.704736,   -3.371625,   -2.703724,   -3.369769,    0.001857
    9.160000,   -2.683080,   -3.478949,   -2.681997,   -3.477048,    0.001901
    9.200000,   -2.664375,   -3.585524,   -2.663223,   -3.583578,    0.001946
    9.240000,   -2.648461,   -3.691463,   -2.647241,   -3.689467,    0.001996
    9.280000,   -2.635140,   -3.796869,   -2.633854,   -3.794821,    0.002048
    9.320000,   -2.624182,   -3.901836,   -2.622833,   -3.899735,    0.002101
    9.360000,   -2.615325,   -4.006449,   -2.613919,   -4.004292,    0.002157
    9.400000,   -2.608282,   -4.110780,   -2.606822,   -4.108565,    0.002215
    9.440000,   -2.602738,   -4.214890,   -2.601231,   -4.212615,    0.002275
    9.480000,   -2.598357,   -4.318824,   -2.596810,   -4.316487,    0.002337
    9.520000,   -2.594785,   -4.422616,   -2.593205,   -4.420215,    0.002400
    9.559999,   -2.591652,   -4.526282,   -2.590047,   -4.523817,    0.002465
