omega,theta
     -0.79562039,      1.34506470
     -1.66393682,      1.74126155
      1.14076192,      0.61049876
     -0.77546306,      5.97575297
      0.51703190,      0.05812193
     -0.59820703,      0.22255242
      0.86403599,      5.91307440
     -1.09375346,      0.55653682
      0.97126533,      4.83653375
     -0.67169967,      2.74045309
      0.92221626,      5.86726166
     -0.14560961,      4.75366784
      1.29124699,      3.89130480
     -1.51103361,      5.82145743
      0.83164381,      2.68429714
      1.68659996,      5.96589661
     -0.88631382,      4.09187080
      1.59479489,      2.89702165
     -1.37136075,      0.55731409
      0.59202696,      1.89028645
     -1.81972335,      2.09927105
      1.89036993,      0.31743439
      1.37024394,      2.77029293
     -0.93062093,      0.79648381
      0.37928664,      1.41971124
     -1.06665244,      2.69977435
      1.33680028,      0.02062670
     -0.44642880,      4.08759394
      2.01229074,      4.32572169
      1.75812735,      0.47523448
     -1.12593569,      3.62458512
      0.00148611,      5.19373464
     -0.33007203,      5.84839586
     -0.52170810,      1.37731480
     -1.18783936,      2.34796619
      1.42953005,      0.48967625
      0.65326809,      2.11374035
     -1.81427985,      2.35739461
      1.89500128,      6.27306453
     -1.13980171,      3.95079184
     -1.44758470,      0.89441170
     -2.33250812,      0.42254375
      2.06396870,      0.66311135
      0.40555123,      1.60615767
     -1.48531717,      2.28023447
      1.64172409,      0.54397171
     -1.03289888,      3.53231297
     -0.00617655,      5.21072620
     -0.31279241,      5.85458963
     -0.53914567,      1.34696684
     -1.76996235,      2.40089284
      1.87201443,      0.04446894
     -1.12101709,      3.90528611
     -1.53429744,      0.25967795
     -0.24505089,      3.20714311
      2.26057509,      0.04980412
     -1.88325776,      4.99981512
     -1.48471855,      4.59245252
      1.88356919,      1.62460613
      1.12014253,      0.75648464
     -0.71998156,      5.90648918
      0.42838907,      0.05016255
     -0.57707856,      0.29025598
      0.90425748,      5.83305216
      1.52425469,      5.63654202
      1.99812633,      5.15517496
     -1.67149521,      4.99955485
      1.55353633,      2.34173580
     -0.37170631,      1.12487925
      0.41606752,      0.79270007
      0.22434418,      4.22854955
     -1.70312702,      3.76022705
      1.06509333,      5.41246057
     -0.51049228,      4.76945754
      1.32525184,      3.80095633
     -1.54509111,      5.91966518
      0.81767565,      2.61547056
      0.53457321,      3.94343367
      1.61401060,      0.04574804
      0.09701636,      2.93392842
     -1.77407818,      2.92417343
      1.73809580,      5.89936071
     -0.95103142,      4.13044693
      1.59019079,      2.74561223
     -1.20208707,      0.70099775
     -1.75695126,      1.69877563
      1.67904592,      0.97288411
     -1.32816319,      3.50142810
      0.86930497,      5.46386542
     -0.35535625,      4.93161304
      0.88352486,      3.40326323
     -0.07258254,      2.30735051
     -2.52430683,      0.89293885
     -0.37897991,      2.60088115
     -2.79064116,      0.24996121
